title,currency,raw_price,usd_price,listing_url,image_url,fair_value,discount_pct,grade,sources,pricecharting_link,confidence,matched_card,search_term_used
2016 #11 Charizard-Holo CGC 9 XY Evolutions Pokemon,SOL,250.0,20502.5,https://collectorcrypt.com/assets/solana/8qziab6KRzD7ej1MHiJeuSsPAmaxYmMWSr1uQQWat2Z4,https://d1xpxki1g4htqu.cloudfront.net/Y1sEDqtuCA4MbAEB4rWThCgX--IFQN7pnIEgUg_MY5k,54.5,-37519.3,CGC 9,['PriceCharting'],https://www.pricecharting.com/game/pokemon-evolutions/charizard-11,0.95,Charizard #11Pokemon Evolutions,v charizard #11
2020 #020 Full Art/Charizard Vmax BGS 9.5 Sword & Shield Darkness Ablaze Pokemon,SOL,76.0,6232.76,https://collectorcrypt.com/assets/solana/FjUbf4JzRLJAeMDfZarrwGTasmbno1MUHJDrTYHHsbAe,https://d1xpxki1g4htqu.cloudfront.net/FiDlU3pFT9QnISMao0tC7EsghYYnMWzQMThlu5HGKhY,1124.49,-454.3,BGS 9.5,['PriceCharting'],https://www.pricecharting.com/game/pokemon-darkness-ablaze/charizard-vmax-prize-pack-20,0.95,Charizard VMAX [Prize Pack] #20Pokemon Darkness Ablaze,vmax charizard #20
2019 #SV59 Full Art/Mewtwo GX PSA 9 Sun & Moon Hidden Fates Pokemon,SOL,115.0,9431.15,https://collectorcrypt.com/assets/solana/8oif34afiECqTpsUUSe28yyVQMqULmfKUzTh6f1cQMfd,https://d1xpxki1g4htqu.cloudfront.net/L4Idv35ZuWo3rqgXCD6EQ9vrL06o1E1m3MkDdHiUYhU,95.0,-9827.5,PSA 9,['PriceCharting'],https://www.pricecharting.com/game/pokemon-hidden-fates/mewtwo-gx-sv59,0.95,Mewtwo GX #SV59Pokemon Hidden Fates,v mewtwo #sv59
2023 #185 Charizard EX PSA 10 Japanese Sv2a- 151 Pokemon,SOL,100.0,8201.0,https://collectorcrypt.com/assets/solana/FaxYZDa4nTPyvaMjCN2FafA8sPkD2CrwRvmrANfYzz6W,https://d1xpxki1g4htqu.cloudfront.net/icmwsRBkXhV378D1AfaOPzFwuPDud-cpWtt6h4aZJlw,24.75,-33035.4,PSA 10,['PriceCharting'],https://www.pricecharting.com/game/pokemon-japanese-scarlet-&-violet-151/charizard-ex-185,0.95,Charizard EX #185Pokemon Japanese Scarlet & Violet 151,ex charizard #185
2023 #170 Squirtle PSA 10 Japanese Sv2a- 151 Pokemon,SOL,96.0,7872.96,https://collectorcrypt.com/assets/solana/9TMQpz4zDMsQs4wNG3bViJhofmGfPvMstNRScW91KuCZ,https://d1xpxki1g4htqu.cloudfront.net/3UOuJZmse4Lb8ToUJ0abvQ1NuBmOfXjojvVIad9o1ng,22.29,-35220.6,PSA 10,['PriceCharting'],https://www.pricecharting.com/game/pokemon-japanese-scarlet-&-violet-151/squirtle-170,0.95,Squirtle #170Pokemon Japanese Scarlet & Violet 151,v squirtle #170
2023 #331 Charizard EX PSA 10 Japanese Sv4a-Shiny Treasure EX Pokemon,SOL,0.95,77.91,https://collectorcrypt.com/assets/solana/2Q6wuBLuzTHb7gHA59NZpzUPvHBWeL4dUFutUCFw5Jum,https://d1xpxki1g4htqu.cloudfront.net/fm7KHw4U_EqppCPgrNa-YRbSbhdt6hM6C8QrrHzONYM,15.0,-419.4,PSA 10,['PriceCharting'],https://www.pricecharting.com/game/pokemon-japanese-shiny-treasure-ex/charizard-ex-331,0.95,Charizard ex #331Pokemon Japanese Shiny Treasure ex,ex charizard #331
2025 #022 Haunter PSA 10 Japanese Mbg-Mega Starter Set Mega Gengar EX Pokemon,SOL,49.0,4018.49,https://collectorcrypt.com/assets/solana/42A4ybno3ewtSbACC1tQAspVD1q1RaHwquUnRR7otCfu,https://d1xpxki1g4htqu.cloudfront.net/atPH8EZxQl8WadmcZMDk-xiHT3Eqsd3FyvnJwDm3XEs,17.34,-23074.7,PSA 10,['PriceCharting'],https://www.pricecharting.com/game/pokemon-japanese-mega-starter-deck-gengar-ex/haunter-22,0.95,Haunter #22Pokemon Japanese Mega Starter Deck Gengar Ex,ex gengar #22
1999 #10 Mewtwo-Holo PSA 6 Game Pokemon,SOL,86.0,7052.86,https://collectorcrypt.com/assets/solana/HiT1Xfax4QjkHQP8ZZvDPFfmKfRTyMmqtU1n9FC1UtEa,https://d1xpxki1g4htqu.cloudfront.net/60A38-MCyPaB6YqNFGNjm0PWYq_D6IgwiHBog3sUqjE,18.15,-38758.7,PSA 6,['PriceCharting'],https://www.pricecharting.com/game/pokemon-base-set/mewtwo-1999-2000-10,0.95,Mewtwo [1999-2000] #10Pokemon Base Set,holo mewtwo #10
2023 #103 Koraidon EX PSA 10 Japanese Sv1s-Scarlet EX Pokemon,SOL,90.0,7380.9,https://collectorcrypt.com/assets/solana/DPK56C67UuzXsVEgBzNKxM5E1oiaTZjeYn6nnFrrjVvT,https://d1xpxki1g4htqu.cloudfront.net/oxjPKv_LwE1CYMZ0tUuCcYb1spjyg2DAOt-vADnvyz8,33.15,-22165.2,PSA 10,['PriceCharting'],https://www.pricecharting.com/game/pokemon-japanese-scarlet-ex/koraidon-ex-103,0.95,Koraidon EX #103Pokemon Japanese Scarlet Ex,ex koraidon #103
2022 #289 Charmander PSA 10 Japanese S Promo Pokemon,SOL,42.0,3444.42,https://collectorcrypt.com/assets/solana/Do9peZWaDEj94yDjVkPHba3W1iSEdX2SbqHeP5PRXuMT,https://d1xpxki1g4htqu.cloudfront.net/1qeA4HErBcobptx1ezBYU8RklMjfpevFTmAe7No-QLY,2.78,-123800.0,PSA 10,['PriceCharting'],https://www.pricecharting.com/game/pokemon-japanese-promo/charmander-289s-p,0.95,Charmander #289/S-PPokemon Japanese Promo,charmander #289
2024 #224 Eevee EX CGC 10 Japanese Sv8a-Terastal Fest EX Pokemon,SOL,39.0,3198.39,https://collectorcrypt.com/assets/solana/CyD2rn9ivvi5XshnGXQP1EWCg7umxPgTTkQEPCTvva7n,https://d1xpxki1g4htqu.cloudfront.net/wayBL26sG1H3hWYVEtsLHeVNaCwNZ312SfQI2o20DJI,25.24,-12571.9,CGC 10,['PriceCharting'],https://www.pricecharting.com/game/pokemon-japanese-terastal-festival/eevee-ex-224,0.95,Eevee Ex #224Pokemon Japanese Terastal Festival,ex eevee #224
2024 #193 Gengar EX PSA 9 Tef EN-Temporal Forces Pokemon,SOL,47.0,3854.47,https://collectorcrypt.com/assets/solana/GiMARoQ6gCrjLgoR2UahbZ5Yqd5mcCfYDYbS5chypeM,https://d1xpxki1g4htqu.cloudfront.net/jF-H37-9FnhkWsi9sNGnTg9VrmVDncQBN8yWD-N-bbQ,40.0,-9536.2,PSA 9,['PriceCharting'],https://www.pricecharting.com/game/pokemon-temporal-forces/gengar-ex-193,0.95,Gengar ex #193Pokemon Temporal Forces,ex gengar #193
2016 #106 Full Art/Dragonite EX CGC 8.5 XY Evolutions Pokemon,SOL,39.0,3198.39,https://collectorcrypt.com/assets/solana/77Qki1h9qc6tfvVQR34X62FPoDU1UzYQ5YamFVpGvc4S,https://d1xpxki1g4htqu.cloudfront.net/RvXWSJa3rI8RXVvPzdsTXe6xFjGbfGJHtRiT_fIaNxw,34.0,-9307.0,CGC 8.5,['PriceCharting'],https://www.pricecharting.com/game/pokemon-evolutions/dragonite-ex-106,0.95,Dragonite EX #106Pokemon Evolutions,ex dragonite #106
